Pessoa1,343,pagamento,23/10/1984,R$1744.00,comentario1
Pessoa2,1743,pagamento,23/10/1984,R$5949.00,comentario2
Pessoa3,3209,doacao,23/10/1984,R$9466.00,comentario3
Pessoa4,7248,doacao,23/10/1984,R$3259.00,comentario4
Pessoa5,6256,doacao,23/10/1984,R$6720.00,comentario5
Pessoa6,8717,doacao,23/10/1984,R$5234.00,comentario6
Pessoa7,2432,juros,23/10/1984,R$5958.00,comentario7
Pessoa8,561,juros,23/10/1984,R$598.00,comentario8
Pessoa9,383,doacao,23/10/1984,R$9673.00,comentario9
Pessoa10,2769,pagamento,23/10/1984,R$9715.00,comentario10
Pessoa11,9603,doacao,23/10/1984,R$572.00,comentario11
Pessoa12,8163,pagamento,23/10/1984,R$7900.00,comentario12
Pessoa13,6983,doacao,23/10/1984,R$6681.00,comentario13
Pessoa14,1248,doacao,23/10/1984,R$2513.00,comentario14
Pessoa15,921,juros,23/10/1984,R$167.00,comentario15
Pessoa16,5787,juros,23/10/1984,R$4668.00,comentario16
Pessoa17,644,pagamento,23/10/1984,R$7006.00,comentario17
Pessoa18,5552,doacao,23/10/1984,R$7162.00,comentario18
Pessoa19,3815,doacao,23/10/1984,R$6897.00,comentario19
Pessoa20,6005,juros,23/10/1984,R$6536.00,comentario20
Pessoa21,3410,juros,23/10/1984,R$1001.00,comentario21
Pessoa22,4365,juros,23/10/1984,R$6463.00,comentario22
Pessoa23,1035,juros,23/10/1984,R$5668.00,comentario23
Pessoa24,1004,pagamento,23/10/1984,R$5723.00,comentario24
Pessoa25,4051,pagamento,23/10/1984,R$7223.00,comentario25
Pessoa26,6452,juros,23/10/1984,R$9198.00,comentario26
Pessoa27,5993,doacao,23/10/1984,R$69.00,comentario27
Pessoa28,9602,juros,23/10/1984,R$7946.00,comentario28
Pessoa29,6793,juros,23/10/1984,R$3777.00,comentario29
Pessoa30,3702,pagamento,23/10/1984,R$1551.00,comentario30
Pessoa31,1386,doacao,23/10/1984,R$5635.00,comentario31
Pessoa32,6199,juros,23/10/1984,R$5675.00,comentario32
Pessoa33,2396,juros,23/10/1984,R$1497.00,comentario33
Pessoa34,5945,juros,23/10/1984,R$1719.00,comentario34
Pessoa35,7300,juros,23/10/1984,R$8023.00,comentario35
Pessoa36,54,doacao,23/10/1984,R$6581.00,comentario36
Pessoa37,9801,juros,23/10/1984,R$3923.00,comentario37
Pessoa38,2078,pagamento,23/10/1984,R$4974.00,comentario38
Pessoa39,3895,pagamento,23/10/1984,R$2074.00,comentario39
Pessoa40,1140,doacao,23/10/1984,R$7174.00,comentario40
Pessoa41,1474,pagamento,23/10/1984,R$1008.00,comentario41
Pessoa42,7258,doacao,23/10/1984,R$2449.00,comentario42
Pessoa43,7318,pagamento,23/10/1984,R$5850.00,comentario43
Pessoa44,3856,doacao,23/10/1984,R$4933.00,comentario44
